T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
37558, 544, -566, -497, -36610, 12320, -15610
37578, 558, -629, -549, -16520, 6440, 3710
37598, 462, -685, -457, 5460, 4130, 18270
37618, 431, -742, -431, 10990, 5040, 21490
37638, 556, -650, -553, 26810, 420, 34370
37658, 487, -595, -450, 42000, -15890, 29820
37678, 566, -641, -498, 5600, -6720, 6370
37698, 558, -668, -549, -8050, 1890, 8190
37718, 521, -698, -491, 12810, -1470, 17220
37738, 504, -770, -490, 9520, -3500, 11270
37758, 752, 757, -1614, 64120, -96740, -33670
37778, 700, -303, -1379, 482090, -751310, -310030
37798, 440, -501, -996, 71610, -98560, -38360
37818, -72, -1098, -153, -352310, 477330, 198660
37838, 492, -821, -220, -286440, 246260, 162820
37858, 507, -821, -411, -96670, 57820, 98840
37878, 587, -568, -789, 26040, -21840, 11760
37898, 505, -686, -494, 31150, -31570, -15050
37918, 490, -663, -578, -15330, 14140, 8400
37938, -491, -1334, 544, -6720, 2240, 4480
