T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
10001, -412, 937, -216, 90300, -298690, 81690
10021, -436, 909, -183, 87640, -271670, 105280
10041, -434, 854, -182, 71050, -271320, 112630
10061, -404, 823, -213, 45710, -301910, 80710
10081, -353, 806, -234, 26600, -337680, 21910
10101, -326, 764, -209, 34300, -335650, -17500
10121, -326, 718, -162, 62510, -287350, -8750
10141, -317, 672, -137, 84700, -231910, 22750
10161, -314, 617, -119, 85120, -199990, 47110
10181, -307, 589, -120, 72240, -187950, 55790
10201, -291, 573, -136, 62930, -182840, 43190
10221, -286, 587, -139, 65310, -172690, 16310
10241, -286, 626, -133, 86030, -147840, -13020
10261, -301, 665, -121, 112840, -114240, -28700
10281, -319, 698, -118, 126420, -84490, -19880
10301, -337, 737, -129, 93170, -73990, 18060
10321, -342, 787, -157, 64820, -82460, 19810
10341, -356, 859, -187, 49420, -79800, 8750
10361, -380, 945, -202, 48440, -62300, -8750
10381, -405, 1070, -244, 47180, -43680, -30030
10401, -430, 1179, -289, 40040, -22050, -46200
10421, -475, 1314, -315, 40530, 16450, -50120
10441, -521, 1440, -337, 41790, 58940, -56560
10461, -549, 1508, -348, 32340, 91140, -74060
10481, -535, 1489, -377, 8190, 109550, -105840
10501, -517, 1410, -356, 350, 139790, -141890
10521, -506, 1319, -279, 23030, 191800, -168560
10541, -485, 1231, -240, 25970, 230090, -179550
10561, -456, 1166, -257, -13440, 240590, -178990
10581, -448, 1149, -295, -51730, 252350, -170940
10601, -478, 1137, -279, -50400, 296240, -150850
10621, -512, 1178, -266, -23380, 358330, -127400
10641, -526, 1247, -279, -12740, 401240, -113470
10661, -545, 1349, -334, -29330, 425180, -95270
10681, -595, 1480, -383, -51800, 451010, -65590
10701, -664, 1585, -408, -60200, 489440, -29050
10721, -699, 1648, -417, -61250, 521150, -10990
10741, -679, 1616, -409, -62930, 528430, -30730
10761, -634, 1475, -377, -70350, 522480, -63350
10781, -592, 1288, -323, -91070, 518980, -70910
10801, -538, 1133, -290, -122360, 512540, -56770
10821, -493, 1023, -273, -158270, 491400, -45430
10841, -457, 931, -261, -194530, 465640, -31360
10861, -439, 886, -251, -220430, 446110, -10150
10881, -439, 862, -250, -234290, 432320, 10500
10901, -434, 856, -250, -242130, 418950, 20930
10921, -429, 892, -263, -243040, 404040, 11830
10941, -429, 941, -276, -237020, 389200, -13510
10961, -436, 982, -285, -229530, 380450, -35560
10981, -446, 995, -291, -224700, 379680, -42630
11001, -448, 957, -271, -222390, 379190, -49630
11021, -433, 886, -226, -204540, 365540, -72520
11041, -406, 818, -196, -197330, 333130, -106120
11061, -370, 759, -184, -198170, 293580, -131670
11081, -349, 710, -168, -199220, 262500, -136080
11101, -332, 657, -156, -195510, 241290, -123830
11121, -323, 614, -142, -182630, 225820, -105490
11141, -320, 578, -119, -164640, 207480, -90790
11161, -307, 548, -109, -147140, 180810, -84420
11181, -296, 521, -103, -130270, 149730, -83440
11201, -283, 493, -98, -109620, 122850, -80640
11221, -274, 470, -89, -84280, 103670, -71680
11241, -266, 457, -81, -56980, 89460, -55580
11261, -265, 444, -70, -31430, 76230, -32480
11281, -269, 446, -63, -9660, 59850, -4130
11301, -272, 457, -66, 7000, 37660, 26530
11321, -280, 470, -73, 22540, 12880, 57680
11341, -290, 503, -86, 42280, -11900, 86170
11361, -300, 561, -111, 65380, -35350, 108360
11381, -326, 650, -132, 91630, -51240, 130410
11401, -364, 765, -153, 121520, -56910, 154490
11421, -420, 938, -182, 149100, -62650, 171920
11441, -493, 1173, -246, 163240, -79590, 176400
11461, -585, 1487, -357, 160510, -112280, 163100
11481, -659, 1747, -461, 155470, -149310, 132790
11501, -674, 1820, -471, 166530, -170380, 93100
11521, -621, 1613, -393, 188790, -164290, 57050
11541, -535, 1355, -305, 191660, -151060, 37240
11561, -475, 1128, -262, 178360, -147560, 32200
11581, -431, 1008, -246, 165340, -148330, 40530
11601, -418, 980, -229, 169890, -143920, 47740
11621, -432, 1029, -231, 197050, -129220, 48860
11641, -467, 1157, -259, 221550, -114590, 50960
11661, -515, 1360, -320, 230160, -108990, 54880
11681, -597, 1603, -386, 228270, -108290, 55440
11701, -697, 1877, -453, 221970, -100100, 58870
11721, -756, 1997, -504, 198240, -101010, 18760
11741, -701, 1887, -488, 168350, -110670, -17080
11761, -607, 1575, -409, 150990, -105840, -49070
11781, -539, 1333, -321, 154000, -85120, -69580
11801, -487, 1178, -283, 152180, -71330, -81760
11821, -445, 1063, -259, 146860, -61740, -83860
11841, -435, 1013, -239, 154910, -46690, -80430
11861, -437, 1019, -225, 168280, -37660, -81340
11881, -437, 1080, -240, 170030, -41090, -80360
11901, -452, 1142, -260, 155610, -46620, -61740
11921, -479, 1197, -270, 135800, -44380, -29610
11941, -498, 1213, -281, 113750, -42980, -4130
11961, -503, 1229, -295, 94850, -50610, -2590
11981, -494, 1181, -280, 87430, -61250, -19880
12001, -467, 1135, -275, 86030, -71680, -43680
12021, -450, 1035, -252, 83370, -78750, -59640
12041, -421, 961, -234, 85750, -79590, -68530
12061, -396, 890, -208, 96670, -82320, -87080
12081, -374, 827, -188, 104580, -83860, -97370
12101, -364, 781, -171, 105980, -86940, -97090
12121, -350, 737, -152, 102760, -92750, -88060
12141, -337, 704, -139, 95340, -103810, -73920
12161, -320, 662, -134, 83650, -119770, -54390
12181, -307, 600, -120, 71190, -134610, -27720
12201, -294, 554, -112, 65380, -144340, 1050
12221, -283, 516, -101, 66710, -151550, 25760
12241, -282, 484, -88, 72940, -156240, 46690
12261, -281, 466, -82, 81550, -161070, 62090
12281, -284, 460, -74, 89390, -171080, 69160
12301, -282, 464, -73, 97650, -184380, 73150
12321, -283, 483, -76, 108850, -199360, 77770
12341, -289, 511, -88, 120330, -213990, 87500
12361, -307, 554, -93, 132440, -222530, 106680
12381, -322, 624, -105, 146790, -223160, 129570
12401, -348, 727, -124, 160860, -223160, 148750
12421, -384, 825, -145, 164920, -225330, 173530
12441, -433, 955, -189, 147490, -224560, 249060
12461, -476, 1097, -250, 145180, -222320, 262080
12481, -541, 1297, -300, 167720, -212380, 235200
12501, -607, 1546, -363, 209300, -206150, 158900
12521, -646, 1751, -406, 240240, -203490, 74900
12541, -626, 1707, -374, 233240, -184100, 51520
12561, -596, 1495, -320, 196770, -145390, 91140
12581, -547, 1309, -272, 162540, -125580, 103600
12601, -489, 1213, -271, 154630, -120260, 66500
12621, -464, 1205, -267, 166950, -99470, 29680
12641, -480, 1270, -271, 184380, -51870, 27090
12661, -536, 1417, -293, 187040, 4550, 51870
12681, -613, 1653, -368, 169750, 50050, 72730
12701, -707, 1920, -471, 145600, 82810, 69160
12721, -778, 1997, -489, 143920, 112350, 32340
12741, -721, 1880, -403, 150150, 137270, -22820
12761, -593, 1553, -362, 106260, 135170, -77980
12781, -515, 1318, -297, 61950, 139790, -107240
12801, -484, 1133, -225, 57260, 186060, -80780
12821, -464, 1027, -206, 52710, 231980, -29610
12841, -460, 992, -209, 41370, 254450, 7770
12861, -466, 1003, -200, 43400, 265370, 20370
12881, -474, 1054, -195, 56840, 272020, 19810
12901, -491, 1139, -229, 53270, 266700, 21910
12921, -518, 1208, -269, 24010, 253190, 40040
12941, -540, 1277, -312, -8680, 242340, 60130
12961, -560, 1334, -322, -24150, 236670, 57540
12981, -558, 1296, -282, -18480, 237930, 35420
13001, -508, 1170, -265, -17570, 230510, 6300
13021, -447, 1028, -253, -42140, 203280, -26390
13041, -408, 909, -223, -60480, 184170, -50610
13061, -370, 806, -175, -56980, 191660, -49980
13081, -350, 701, -138, -55160, 208530, -22190
13101, -332, 618, -122, -66570, 215110, 17780
13121, -316, 557, -111, -86380, 199010, 42280
13141, -302, 523, -108, -99190, 171080, 44590
13161, -290, 513, -110, -78750, 125300, 11970
13181, -292, 519, -99, -50960, 114030, -2870
13201, -300, 527, -82, -27580, 100800, -8540
13221, -303, 545, -80, -21210, 72800, -10010
13241, -304, 554, -98, -26950, 35980, -9660
13261, -305, 571, -119, -27860, 5950, -12320
13281, -304, 606, -140, -14070, -9660, -23730
13301, -313, 654, -141, 12390, -8890, -35350
13321, -328, 702, -134, 36400, -1330, -36050
13341, -338, 743, -136, 41440, -2940, -24850
13361, -341, 749, -149, 26250, -15610, -4760
13381, -346, 747, -163, 9380, -28140, 13860
13401, -350, 738, -164, 7980, -34790, 17220
13421, -359, 741, -145, 21840, -37450, 3570
13441, -360, 750, -140, 35630, -48580, -23450
13461, -359, 765, -144, 34370, -74970, -51800
13481, -355, 785, -170, 22330, -106890, -72660
13501, -356, 813, -197, 9730, -131460, -83650
13521, -372, 878, -217, 12110, -138110, -89250
13541, -397, 962, -235, 28420, -130480, -93310
13561, -431, 1104, -272, 44100, -121310, -99610
13581, -476, 1274, -320, 49490, -115570, -106750
13601, -557, 1534, -402, 42490, -106680, -104790
13621, -641, 1800, -481, 31570, -91280, -100660
13641, -707, 1997, -535, 26810, -66780, -99610
13661, -738, 1973, -498, 17570, -35140, -92960
13681, -703, 1799, -441, -8610, -11830, -90230
13701, -613, 1654, -444, -49350, -28280, -141120
13721, -561, 1555, -446, -86100, -56420, -218120
13741, -555, 1482, -413, -92120, -35350, -245420
13761, -565, 1417, -360, -65730, 30100, -227500
13781, -549, 1362, -342, -39690, 88690, -212240
13801, -524, 1384, -370, -35070, 111440, -223300
