,AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
0,1078,1345,374,93100,-82180,148470
1,1509,115,1384,-92610,21420,147350
2,1997,-301,1401,-177030,77770,45710
3,1982,-920,1807,-144690,42350,-49560
4,1997,-1207,1425,-79030,27930,-60620
5,613,-1776,1065,-9730,51450,-155260
6,-270,-1998,916,-7910,125510,-174090
7,-741,-1898,753,20930,96530,-194950
8,-1052,-1557,635,59850,33530,-146160
9,-1382,-1179,730,69300,-26040,-101710
10,-1715,-942,895,70140,-53480,-33600
11,-1930,-231,997,83370,-46900,52850
12,-1724,652,928,106610,-36470,152250
13,-572,1456,675,111300,-32410,228340
14,281,1957,777,89950,18410,277340
15,553,1987,833,76300,86870,285880
16,610,1602,651,67200,66780,179340
17,762,1198,522,51030,7700,47250
18,1828,687,67,43540,-35420,-1190
19,1997,112,143,-14070,-33460,-14490
20,1997,-1331,1438,-60480,52150,-60270
21,717,-1998,1998,-63770,144620,-171570
22,-435,-1998,1513,-19810,139720,-188090
23,-754,-1998,1249,700,50120,-159880
24,-969,-1998,1110,45570,-51870,-122290
25,-1093,-1721,788,66920,-94710,-61040
26,-1142,-893,484,87290,-95760,21630
27,-1528,-19,610,95410,-94500,89320
28,-1873,493,966,76650,-94640,141680
29,-1525,739,1407,28140,-77350,193410
30,-503,1356,1744,-17640,-47670,250670
31,476,1997,1302,-7350,-29260,289310
32,1300,1997,253,39830,-19250,281260
33,1348,1997,342,55580,560,237230
34,1512,1555,544,-8750,56280,159530
35,1997,755,521,-50680,61670,53830
36,1997,224,306,-57610,6860,-6580
37,1997,-420,170,-60550,-48720,-50540
38,1703,-1603,876,-84910,-64470,-153160
39,397,-1998,1136,-108500,122780,-263410
40,-417,-1998,1345,-62650,120540,-263200
41,-959,-1998,1452,9100,71820,-230370
42,-1341,-1998,1331,71190,-21210,-170730
43,-1341,-1937,1037,114310,-62720,-81900
44,-1262,-1251,822,141120,-91140,4830
45,-1346,-356,851,150080,-122640,73920
46,-1370,392,1168,122640,-135240,123480
47,-1279,1003,1477,63420,-83370,164080
48,-224,1356,1485,28210,-9450,248430
49,1175,1883,1292,27440,82320,333200
50,1799,1997,472,48580,118370,326760
51,1560,1997,62,49980,71540,201250
52,1239,1738,-72,3500,25200,44520
53,1762,1039,-250,-41230,33110,-45920
54,1997,497,-67,-75530,13860,-91000
55,1997,-583,-192,-139580,-21420,-136010
56,1962,-1786,660,-202230,1330,-199080
57,501,-1998,1285,-156660,44520,-247030
58,-587,-1998,1829,-131110,62300,-273420
59,-1120,-1998,1916,-92540,65870,-269710
60,-1366,-1998,1550,-19250,13160,-201950
61,-1280,-1927,1161,71610,-65870,-104370
62,-1207,-982,1015,131040,-87430,-20790
63,-1093,-47,917,163100,-83650,67550
64,-1314,806,1393,157010,-100030,141680
65,-422,1697,767,154070,-66500,210280
66,540,1997,420,155960,-52850,256760
67,1170,1997,262,133000,13230,288400
68,1493,1997,152,81760,74550,245140
69,1660,1846,140,23100,53620,130550
70,1997,1125,46,-22610,23800,40950
71,1997,519,-98,-52710,37730,-7630
72,1997,-607,-214,-86100,2240,-77630
73,1486,-1980,708,-191660,48230,-255850
74,241,-1998,1141,-182140,90370,-296100
75,-728,-1998,1632,-151130,115920,-293230
76,-1182,-1998,1780,-88200,99190,-237160
77,-1399,-1998,1539,770,51940,-147980
78,-1271,-1870,1077,77910,-16450,-56980
79,-1211,-915,808,136500,-61040,25270
80,-1137,-5,861,149590,-69930,101920
81,-1633,773,1482,114380,-43330,159390
82,-629,1619,700,105280,-10850,225120
83,641,1997,441,105350,-18970,286930
84,1458,1997,473,74480,69860,312690
85,1587,1997,515,28350,135730,229110
86,1301,1995,253,10850,95830,84210
87,1220,1508,-260,-3780,-6580,-15400
88,1963,719,-387,-55230,-47670,-54950
89,1997,-341,114,-146790,-7490,-93800
90,1997,-1685,982,-206920,86310,-202650
91,1041,-1998,1144,-164780,124810,-276500
92,24,-1998,1306,-124810,111160,-338310
93,-876,-1998,1598,-91700,81130,-310800
94,-995,-1998,1548,-42350,46270,-198800
95,-901,-1998,1250,17710,14840,-113120
96,-986,-1375,1021,79310,-16800,-61250
97,-1057,-633,800,117250,-49490,-18340
98,-1144,61,1043,106610,-65170,24290
99,-1610,580,1685,63280,-42280,80780
100,-1117,1034,1347,34720,13090,177870
101,40,1594,967,28840,30380,266770
102,761,1972,806,38920,54810,288890
103,779,1986,568,39340,117810,263550
104,556,1726,220,31500,129010,165410
105,505,1270,288,19040,37590,31150
106,1171,724,357,-13160,-19530,-36330
107,1997,248,739,-73360,19110,-56840
108,1997,-555,979,-109200,55020,-179550
109,1460,-1428,1249,-74060,57540,-261660
110,629,-1994,1106,-40460,15540,-240030
111,-257,-1998,1150,-47460,20300,-203490
112,-400,-1998,1279,-34230,10920,-200830
113,-750,-1998,1209,-980,-21700,-184450
114,-756,-1817,926,42630,-27160,-110670
115,-743,-1261,642,76580,-49770,-50960
116,-783,-800,679,97230,-73990,5320
117,-898,-209,724,103880,-101150,57120
118,-928,512,955,93520,-144340,111720
119,-1044,701,1767,60830,-164220,188090
120,-548,1032,1857,26950,-109690,259210
121,159,1537,1519,31080,-31150,284200
122,866,1792,1183,49140,51450,279090
123,773,1674,723,59570,144340,241710
124,453,1636,84,70770,138390,150990
125,298,1378,-150,45640,-18550,26600
126,850,700,135,-46480,-79520,-35350
127,1416,4,865,-133630,35000,-12950
128,1987,-524,1032,-147280,176890,-14560
129,1997,-1020,672,-142660,177660,-116060
130,1525,-1723,1033,-118650,59570,-250320
131,570,-1998,1103,-60200,7910,-282310
132,48,-1998,817,-18200,30240,-234290
133,-104,-1998,1070,-20090,27020,-248150
134,-679,-1998,1386,-28560,16450,-276640
135,-989,-1932,1192,5600,32900,-204330
136,-779,-1298,673,70700,10080,-96250
