,AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
150,427,-1071,-292,-83720,95690,-66360
151,435,-1125,-320,-76720,100520,-68740
152,431,-1124,-312,-63350,116270,-85960
153,428,-1097,-283,-47670,134890,-110740
154,435,-1086,-270,-37800,141960,-129640
155,443,-1093,-292,-38150,129010,-132440
156,427,-1088,-311,-37590,107800,-121940
157,400,-1063,-285,-21210,102060,-116480
158,393,-1040,-237,3080,112560,-128590
159,408,-1025,-232,11270,114100,-149450
160,426,-1009,-270,-4900,89530,-159810
161,419,-1002,-282,-14700,59220,-149100
162,397,-995,-253,4970,48300,-127260
163,380,-968,-207,35000,52220,-113960
164,373,-925,-200,42210,47320,-115640
165,378,-874,-223,22190,24710,-122290
166,371,-829,-210,7910,4760,-121240
167,353,-788,-171,20650,2520,-107170
168,333,-756,-135,43190,5320,-83580
169,320,-740,-125,49560,-5670,-56560
170,328,-748,-149,34160,-32060,-32830
171,352,-770,-174,10920,-59430,-17430
172,373,-802,-189,-1330,-73290,-5950
173,384,-844,-196,14560,-76860,44100
174,382,-887,-206,20650,-84070,76650
175,384,-925,-225,18970,-91980,97090
176,396,-943,-238,16870,-90930,98910
177,417,-952,-241,20230,-82110,94290
178,433,-976,-244,26880,-79030,104160
179,438,-1022,-260,31850,-88060,131180
180,443,-1086,-297,34020,-101850,160090
181,450,-1139,-326,37520,-106400,171500
182,468,-1158,-327,44660,-93730,158690
183,480,-1146,-324,49770,-78260,140140
184,474,-1117,-317,54250,-73290,138320
185,451,-1087,-304,63630,-73640,152180
186,426,-1068,-279,74900,-70210,163590
187,419,-1062,-264,78400,-62230,159250
188,428,-1052,-278,65660,-58520,142100
189,434,-1036,-292,49490,-56560,124390
190,418,-1003,-279,48510,-47180,116760
191,389,-951,-238,61180,-28770,114940
192,358,-896,-205,69720,-9310,108290
193,338,-837,-184,61950,2660,93030
194,323,-784,-171,44030,10570,70770
195,314,-748,-157,28490,19950,49280
196,303,-727,-139,19040,30800,34160
197,298,-726,-132,9310,39410,22470
198,303,-747,-140,-6160,42350,10220
199,319,-799,-165,-26390,41230,-4200
200,344,-857,-198,-46900,41090,-22890
201,371,-918,-228,-63280,46690,-46270
202,398,-986,-249,-69860,58870,-68110
203,426,-1059,-280,-68600,71890,-83720
204,430,-1097,-306,-65870,79310,-92750
205,410,-1087,-304,-60340,83790,-98560
206,395,-1045,-263,-47180,97790,-114100
207,407,-1037,-226,-26600,127120,-169190
208,448,-1094,-264,-44170,102270,-172760
209,486,-1187,-354,-64050,65310,-157010
210,491,-1272,-414,-52080,52500,-140210
211,465,-1255,-361,-11760,77140,-150080
212,443,-1152,-287,15820,103460,-181930
213,431,-1053,-262,10570,93100,-199290
214,419,-988,-261,490,63490,-188930
215,403,-957,-245,9100,44100,-164220
216,384,-945,-213,25760,35840,-142310
217,383,-932,-207,26040,23100,-131880
218,380,-902,-223,9660,2660,-128520
219,375,-855,-225,2240,-8400,-124670
220,360,-792,-186,16030,-3290,-113960
221,342,-746,-141,37450,5040,-93730
222,327,-716,-124,43190,-2450,-65520
223,317,-704,-131,28770,-26600,-35630
224,324,-703,-147,11410,-48160,-12460
225,342,-723,-151,5320,-55230,4270
226,363,-769,-157,7980,-54810,24220
227,384,-847,-186,8330,-61670,56280
228,407,-959,-257,210,-80850,95900
229,425,-1036,-307,-6300,-95830,125930
230,436,-1049,-298,4480,-84700,131390
231,438,-1016,-258,28490,-52640,118230
232,436,-991,-239,43470,-32690,112350
233,436,-1016,-264,40250,-43260,131110
234,438,-1074,-301,32760,-67690,164990
235,449,-1132,-312,34720,-80290,189840
236,471,-1180,-321,43400,-72450,189560
237,500,-1209,-356,42910,-62230,172970
