T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
2097, 940, 179, -329, 16520, -6860, -48370
2117, 966, 384, -76, 47390, 7560, -50330
2137, 1118, 541, -73, 73360, -33600, -28140
2157, 1205, 619, 58, 84770, -47250, -4690
2177, 1122, 408, 31, 79590, -14350, 7210
2197, 988, 304, 9, 72730, 21770, 22890
2217, 974, 235, -34, 66220, 33810, 28350
2237, 1052, 253, -19, 63490, 16380, 35000
2257, 1096, 208, 68, 75040, -8890, 34090
2277, 993, 134, 4, 78050, 2170, 29330
2297, 835, 39, 65, 72170, 25550, 28420
2317, 758, 71, 146, 71190, 48230, 27790
2337, 811, -13, 184, 73150, 44590, 32620
2357, 832, 28, 129, 79100, 13440, 43470
2377, 796, 43, 240, 86940, -4970, 34230
2397, 781, 18, 256, 91350, 9940, 41020
2417, 763, -84, 229, 83020, 10150, 45640
2437, 797, -126, 158, 73780, 2940, 32200
2457, 905, -74, 97, 73080, -10990, 12950
2477, 952, -21, 157, 77350, -28140, 2030
2497, 864, 7, 226, 81760, -700, 22050
2517, 841, -46, 221, 80570, 16380, 32830
2537, 906, -114, 168, 76020, 14840, 33460
2557, 950, -73, 178, 70560, 420, 19320
2577, 1009, -58, 190, 69440, -10500, 8820
2597, 951, 3, 282, 65730, -17920, 8260
2617, 905, -56, 240, 55090, -16520, 9940
2637, 892, -63, 255, 44940, -12880, 6790
2657, 993, -94, 197, 42630, -15120, 210
2677, 1042, -33, 171, 44240, -25480, -4690
2697, 995, 23, 227, 47250, -17290, -5530
2717, 959, 19, 260, 46060, 490, 3570
2737, 945, -53, 211, 37030, 280, 5950
2757, 997, -118, 138, 26530, -10220, 5740
2777, 1020, -101, 142, 22960, -16380, 3500
2797, 998, -10, 196, 25900, -15260, -560
2817, 987, 21, 257, 29120, -9660, 1610
2837, 985, 13, 311, 25550, -6020, 4690
2857, 967, 3, 380, 18270, -1890, 5320
2877, 959, 99, 482, 15190, 8960, 8330
2897, 967, 109, 500, 26320, 33810, 25970
2917, 1010, 65, 446, 28210, 48160, 49210
2937, 1021, 0, 394, 9380, 35490, 51590
2957, 946, -28, 425, -20580, 40740, 44380
2977, 925, -9, 469, -27790, 53340, 42770
2997, 863, 59, 543, -28630, 58240, 37730
3017, 788, 12, 563, -41020, 26880, -8890
3037, 764, 64, 575, -60060, -12250, -41790
3057, 794, 150, 390, -86870, -67060, -49840
3077, 857, 143, 282, -157990, -145880, -75880
3097, 936, -1, 201, -228970, -169120, -88620
3117, 893, 29, 195, -214130, -129640, -46550
3137, 840, 131, 277, -192710, -123830, -41930
3157, 845, 154, 61, -202790, -190470, 20650
3177, 947, 51, -69, -205730, -258650, 69930
3197, 1092, 101, -253, -227360, -287000, 16450
3217, 1213, 141, -371, -235690, -251650, 4130
3237, 1129, 265, -426, -233380, -180040, 56630
