T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
4068, 925, 175, 997, -54180, -49350, -1540
4088, 925, 172, 736, -64330, -62860, -24290
4108, 629, 416, 1049, -106260, -115920, -44590
4128, 662, 259, 964, -78820, -135730, -53060
4148, 504, 435, 1032, -120960, -177520, -24570
4168, 469, 522, 963, -88130, -147700, -51380
4188, 335, 585, 845, -80010, -122850, -61250
4208, 236, 616, 794, -96320, -101990, -48160
4228, 140, 633, 765, -36470, -45080, -50260
4248, 113, 633, 683, -42980, -10920, -30730
4268, 68, 680, 747, -24920, -10500, -13790
4288, 50, 607, 708, -5320, -7350, -7980
4308, 55, 596, 674, -5950, -2170, 10710
4328, 48, 553, 605, 10290, -1470, 39970
4348, 116, 468, 580, 7490, 1890, 63770
4368, 215, 326, 640, 70, 13020, 86660
4388, 297, 246, 694, -5390, 12600, 102900
4408, 389, 201, 726, -2310, 16030, 113470
4428, 371, 159, 779, -2590, 22540, 117390
4448, 365, 156, 743, 6440, 33670, 117040
4468, 408, 112, 753, 14350, 46130, 126210
4488, 514, 40, 862, 16170, 54390, 133630
4508, 518, 51, 969, 21280, 62020, 136290
4528, 523, -51, 939, 37450, 82110, 145880
4548, 576, -93, 1007, 40950, 86660, 160300
4568, 708, -213, 1019, 28630, 66150, 168000
4588, 848, -384, 1125, 29050, 58730, 177870
4608, 1059, -512, 1127, 33950, 40180, 180950
4628, 1132, -600, 1153, 43190, 2730, 167020
4648, 1150, -700, 1122, 58240, -59710, 146650
4668, 1498, -886, 917, 59500, -119560, 113400
4688, 1588, -958, 749, 60480, -149030, 59850
4708, 1530, -958, 742, 67900, -132650, 18480
4728, 1366, -882, 687, 90230, -77420, -43820
4748, 1133, -715, 497, 115920, -26740, -110040
4768, 910, -574, 373, 105700, 1540, -154840
4788, 592, -415, 240, 56840, 1260, -175560
4808, 333, -265, 237, 27930, 11060, -188370
4828, 96, -209, 358, 4830, 28070, -186130
4848, -68, -213, 458, -20020, 46200, -167510
4868, -256, -223, 436, -40670, 79100, -134680
4888, -367, -80, 374, -66290, 103600, -101640
4908, -324, -23, 356, -102200, 133350, -85470
4928, -365, -50, 268, -144550, 176190, -57680
4948, -192, -211, 444, -190330, 163660, 37520
4968, 289, -420, 1190, -255780, 76300, 134890
4988, 1358, -920, 1431, -281050, 81340, 129080
5008, 1387, -884, 1635, -303800, 85400, 46970
5028, 887, -633, 1932, -302820, 91420, -57050
5048, 628, -466, 1979, -153510, 4620, -140840
5068, 579, -309, 1998, -91210, -7210, -204400
5088, 326, -142, 1998, 14700, 23590, -261170
5108, 119, -104, 1861, 154350, 119070, -322770
5128, -135, -16, 1343, 217770, 171500, -345380
5148, -739, 391, 873, 244230, 117670, -294560
5168, -984, 817, 507, 241780, 33040, -212100
5188, -1067, 994, 348, 209020, -16310, -119280
5208, -932, 917, 264, 163100, -5810, -34650
5228, -774, 764, 481, 116130, 24430, 40670
5248, -740, 549, 613, 74970, 38850, 105770
5268, -472, 432, 710, 39270, 33320, 179760
5288, -331, 179, 734, 9870, 35630, 236600
5308, -112, -91, 1083, -13790, 34860, 269850
5328, 84, -159, 1208, -23100, 28140, 272370
5348, 303, -278, 1071, -16310, 31080, 259070
5368, 520, -286, 1016, -29120, 2870, 255500
5388, 620, -330, 1101, -40600, -27650, 227990
5408, 648, -399, 1165, -41090, -33810, 194320
5428, 852, -521, 1148, -36050, -44660, 168770
5448, 1028, -644, 1199, -32690, -63210, 141610
5468, 1030, -678, 1224, -31570, -76650, 102900
5488, 1080, -635, 1119, -19810, -106680, 60550
5508, 1050, -567, 978, 8260, -109970, 34860
5528, 951, -501, 868, 52290, -48230, 18620
5548, 826, -390, 795, 77350, -9590, -4900
5568, 750, -276, 797, 80640, -21140, -35490
5588, 672, -203, 750, 76370, -23450, -60410
